Bathrooms;Bedrooms;Erf_size;Floor_size;Garages;Listing_date;Listing_number;Pet_friendly;Price;Town;Type_of_property;Garden;Pool;Secure_parking;Parking;No_pets_allowed;Furnished;Flatlet;Fibre_internet;Furnished_optional;ADSL_internet;Satellite_internet;Fixed_wimax_internet;month;year
3.0;3.0;304.0;326.0;2.0;2020-07-10;108859219;1.0;6480000.0;Tokai, Cape Town;House;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2020
3.0;3.0;430.5;140.0;2.0;2020-09-23;109153971;1.0;6250000.0;14 Graham Road, Sea Point, Cape Town;Townhouse;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.5;4.0;659.0;300.0;2.0;2020-09-23;109154367;0.0;13950000.0;Camps Bay, Cape Town;House;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;92.0;1.0;2020-09-23;109154455;0.0;1050000.0;Ottery, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;61.0;1.0;2020-07-23;108907258;0.0;1265000.0;Muizenberg, Cape Town;Apartment / Flat;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2020
3.0;6.0;677.0;92.0;1.0;2020-09-18;109136653;1.0;9900000.0;7 Breda Street, Oranjezicht, Cape Town;House;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.5;3.0;430.5;410.0;2.0;2020-07-24;108909235;0.0;55000000.0;Waterfront, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2020
4.5;4.0;430.5;300.0;1.0;2020-09-23;109154447;1.0;15999000.0;Sea Point, Cape Town;Apartment / Flat;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;51.0;1.0;2020-09-08;109087490;0.0;1385000.0;36 Clifford Ave, Vredehoek, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;0.5;430.5;43.0;1.0;2020-09-07;109072931;0.0;1400000.0;Cape Town City Centre, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.5;2.0;430.5;57.0;1.0;2020-09-23;109154135;1.0;1475000.0;5 Hamlet Way, Pinelands, Cape Town;Townhouse;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
8.0;8.0;2842.0;650.0;3.0;2020-09-23;109154306;1.0;20000000.0;Kenilworth Upper, Cape Town;House;1.0;1.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;645.0;92.0;1.0;2020-09-23;109153823;0.0;2195000.0;Thornton, Cape Town;House;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.0;4.0;1085.0;92.0;1.0;2020-09-23;109154445;0.0;4450000.0;Tokai, Cape Town;House;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
4.5;4.0;252.0;92.0;1.0;2020-09-23;109154270;1.0;4850000.0;12 Faure Street, Gardens, Cape Town;House;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.0;3.0;430.5;192.0;2.0;2020-07-24;108909566;0.0;28000000.0;Waterfront, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2020
2.0;2.0;281.0;140.0;1.0;2020-09-23;109154201;1.0;4950000.0;Sea Point, Cape Town;House;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;209.0;106.0;1.0;2020-07-25;108912704;0.0;2500000.0;Harfield Village, Cape Town;House;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2020
1.0;3.0;430.5;92.0;1.0;2020-09-23;109154145;0.0;690000.0;Parkwood, Cape Town;House;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;86.0;1.0;2020-09-23;109153982;0.0;3500000.0;16 Fir Avenue, Bantry Bay, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;92.0;1.0;2020-09-23;109153799;0.0;1500000.0;Kenilworth, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;4.0;651.0;180.0;1.0;2020-09-23;109152879;0.0;3295000.0;Diep River, Cape Town;House;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;818.0;229.0;1.0;2020-09-23;109152592;0.0;3200000.0;12 Mimosa Way, Pinelands, Cape Town;House;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;4.0;256.0;92.0;1.0;2020-09-23;109153376;0.0;849000.0;69 Zone 21, Langa, Cape Town;House;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;100.0;1.0;2020-09-23;109153579;1.0;3750000.0;88 Constantia Main Road, Wynberg Upper, Cape Town;Apartment / Flat;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;92.0;1.0;2020-09-23;109153581;0.0;720000.0;14 First On Forest, Thornton, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;65.0;1.0;2020-09-23;109153055;0.0;1900000.0;Observatory, Cape Town;House;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
5.0;5.0;185.0;92.0;1.0;2020-09-23;107222918;0.0;5950000.0;Gardens, Cape Town;House;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;5.0;430.5;92.0;1.0;2020-09-23;109153584;0.0;1695000.0;Retreat, Cape Town;House;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.0;3.0;1088.0;295.0;1.0;2020-09-23;109153723;0.0;13500000.0;Camps Bay, Cape Town;House;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;126.0;1.0;2020-09-23;109153468;0.0;8500000.0;Waterfront, Cape Town;Apartment / Flat;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;73.0;1.0;2020-09-23;109152871;0.0;1825000.0;Lakeside, Cape Town;Townhouse;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;93.0;1.0;2020-09-23;109152821;0.0;5900000.0;Rondebosch, Cape Town;Apartment / Flat;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
7.0;6.0;430.5;92.0;1.0;2020-09-23;109152978;0.0;9250000.0;Green Point, Cape Town;House;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;54.0;54.0;1.0;2020-09-23;109153066;0.0;1599000.0;Claremont Upper, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;818.0;92.0;1.0;2020-09-23;109153312;0.0;3250000.0;Pinelands, Cape Town;House;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
2.0;1.0;430.5;67.0;1.0;2020-09-23;109153771;0.0;2850000.0;6 Quendon Road, Sea Point, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
2.0;4.0;530.0;92.0;1.0;2020-09-23;109153366;0.0;2395000.0;5 Desande Road, Southfield, Cape Town;House;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;133.0;93.0;1.0;2020-09-23;109153009;1.0;4950000.0;5 Brownlow Rd, Tamboerskloof, Cape Town;Apartment / Flat;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;91.0;1.0;2020-09-23;109151558;1.0;3150000.0;Oranjezicht, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;143.0;1.0;2020-09-23;109152082;0.0;12995000.0;Waterfront, Cape Town;Apartment / Flat;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;84.0;1.0;2020-09-22;109150743;1.0;4750000.0;7 On T Thornhill Road, Green Point, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
1.0;3.0;263.0;105.0;1.0;2020-09-23;109151857;0.0;2495000.0;Kenilworth, Cape Town;House;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;61.0;1.0;2020-07-23;108907279;0.0;1265000.0;Muizenberg, Cape Town;Apartment / Flat;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2020
3.0;3.0;144.0;144.0;1.0;2020-09-22;109148820;0.0;7950000.0;21 Fir Avenue, Bantry Bay, Cape Town;Apartment / Flat;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.0;3.0;421.0;92.0;2.0;2020-09-22;109150356;0.0;2400000.0;18 Cox Crescent, Mountview, Cape Town;House;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.5;3.0;430.5;301.0;1.0;2018-04-17;106249560;0.0;9950000.0;1 Victoria Road, Camps Bay, Cape Town;Apartment / Flat;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;2018
2.0;3.0;434.0;127.0;1.0;2020-09-22;109149905;1.0;1295000.0;Charlesville, Cape Town;House;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;73.0;1.0;2020-09-23;105778949;0.0;2795000.0;Rondebosch, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.5;3.0;430.5;261.0;1.0;2020-09-23;109151866;0.0;15950000.0;Bantry Bay, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;85.0;1.0;2020-09-22;109150758;0.0;1600000.0;28 Mile End Road, Diep River, Cape Town;Apartment / Flat;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.5;3.0;898.0;92.0;1.0;2020-09-23;109151344;0.0;6950000.0;13 Avenue Thibault, Newlands, Cape Town;House;1.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;92.0;1.0;2020-09-23;109151364;0.0;795000.0;Thornton, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;78.0;1.0;2020-09-23;109151568;0.0;2350000.0;Eilat, 10 Hall Road, Sea Point, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.5;3.0;231.0;170.0;2.0;2020-09-23;109151766;1.0;5950000.0;Newlands, Cape Town;Townhouse;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
3.0;5.0;936.0;150.0;2.0;2020-09-23;109151546;0.0;8700000.0;5 Springfield Close, Rondebosch, Cape Town;House;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.5;3.0;1001.0;303.0;2.0;2020-09-21;109144854;0.0;7695000.0;6 Weaverbird Close, Tokai, Cape Town;House;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;79.0;79.0;1.0;2020-09-23;109151160;1.0;1250000.0;6 St Georges Street, Muizenberg, Cape Town;Apartment / Flat;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;159.0;1.0;2020-09-22;109147053;0.0;18995000.0;42 Victoria Road, Bantry Bay, Cape Town;Apartment / Flat;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;4.0;622.0;148.0;1.0;2020-09-23;109151909;0.0;2850000.0;8 Denton Street, Kenwyn, Cape Town;House;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;58.0;1.0;2020-09-23;109152325;0.0;1350000.0;226 Victoria Road, Woodstock, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
